bathrooms;hasLift;latitude;longitude;newDevelopment;price;rooms;size;exterior_0;exterior_1;floor_1;floor_2;floor_3;floor_4;floor_high;floor_en;luxury;hasParking;property_chalet;property_duplex;property_penthouse;property_studio;status_renew;y_pred;rentabilidad;property_type;floor_type
2;True;37.3863684;-5.9700639;False;558000.0;4;158.0;0;1;0;0;0;0;0;0;False;False;0;0;0;0;0;1206.9538382778674;2.5955996522104674;Piso;Bajo/Semisótano
2;True;37.3867722;-5.9704489;False;285000.0;3;101.0;0;1;0;0;0;0;1;0;False;False;0;0;0;0;0;1131.9951696971893;4.766295451356586;Piso;Piso Alto
2;True;37.3879014;-5.9712996;True;476900.0;4;153.0;0;1;0;0;0;0;0;0;False;False;0;0;0;0;0;1142.0098463423833;2.873583173853764;Piso;Bajo/Semisótano
2;False;37.3833579;-5.962907;False;350000.0;3;138.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;0;1173.154022988506;4.022242364532022;Chalet;Bajo/Semisótano
1;True;37.3833944;-5.9634223;False;270000.0;3;91.0;0;1;0;1;0;0;0;0;False;False;0;0;0;0;0;949.7108187134502;4.2209369720597785;Piso;Segundo Piso
2;True;37.3834017;-5.963548;False;270000.0;3;106.0;0;1;0;0;0;1;0;0;False;False;0;0;1;0;1;1258.4742202380953;5.593218756613757;Ático;Cuarto Piso
1;True;37.3837965;-5.9657397;False;198000.0;2;55.0;0;0;0;0;0;0;0;0;False;False;0;0;0;0;0;904.7956770361993;5.4836101638557535;Piso;Bajo/Semisótano
1;False;37.3847837;-5.9681125;False;165000.0;2;56.0;0;1;0;0;0;0;0;0;False;False;0;0;0;0;0;846.8965160178699;6.159247389220872;Piso;Bajo/Semisótano
1;True;37.3837652;-5.9658154;False;198000.0;2;60.0;0;1;0;0;0;0;0;0;False;False;0;0;0;0;0;884.5617982483209;5.360980595444369;Piso;Bajo/Semisótano
2;False;37.3832337;-5.9622033;False;190000.0;2;79.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;0;1201.6631896551726;7.589451724137931;Chalet;Bajo/Semisótano
